Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       Egz.
Vardas1                 Pavarde1                      3        10         8         1         7          2
Vardas2                 Pavarde2                      9         8         4         6         3          7
Vardas3                 Pavarde3                      8        10         9         8        10          8
Vardas4                 Pavarde4                      7         8         8         3         8          5
Vardas5                 Pavarde5                      9         3         7         9         4          5
Vardas6                 Pavarde6                      9         7         4         6         8          2
Vardas7                 Pavarde7                      8         4         2         3         1          9
Vardas8                 Pavarde8                      8         5         7         8         1          8
Vardas9                 Pavarde9                      4         1        10         9        10          3
Vardas10               Pavarde10                      4         9         2         4         2          9
Vardas11               Pavarde11                      9         8         2         3         1          1
Vardas12               Pavarde12                      3         8         5         4         8          1
Vardas13               Pavarde13                      8         6         9         3         9          2
Vardas14               Pavarde14                      1         2        10         1         9          9
Vardas15               Pavarde15                      1        10         4         7         2         10
Vardas16               Pavarde16                      9         1         9        10         2          9
Vardas17               Pavarde17                      2         1         4        10         1          2
Vardas18               Pavarde18                     10         7         5        10         2          8
Vardas19               Pavarde19                      3         6         5         9         1          5
Vardas20               Pavarde20                     10         2         7         9         4          9
Vardas21               Pavarde21                      1         6         9         9         8          7
Vardas22               Pavarde22                      1         1         2        10         3          5
Vardas23               Pavarde23                      6         4         4         6         6          4
Vardas24               Pavarde24                      3         9         3         5         6          1
Vardas25               Pavarde25                      9         7         7         8         9          7
Vardas26               Pavarde26                      9         5         6        10         5          9
Vardas27               Pavarde27                      5         8         2         2         2          5
Vardas28               Pavarde28                      1         1         2         5         9          6
Vardas29               Pavarde29                      8         3        10         7         6          4
Vardas30               Pavarde30                      9         9         5         9        10         10
Vardas31               Pavarde31                      7         9         3         6         6          3
Vardas32               Pavarde32                      2         2         2         5         9          6
Vardas33               Pavarde33                      1         9         8         9         8          3
Vardas34               Pavarde34                      6         7        10         7         4          1
Vardas35               Pavarde35                      8         6        10         2         9          4
Vardas36               Pavarde36                      7         5         1         2         9          5
Vardas37               Pavarde37                      9         3         6         6         6         10
Vardas38               Pavarde38                      2         4         8         4         1          9
Vardas39               Pavarde39                     10         9         5         7         9          7
Vardas40               Pavarde40                      9         1         4         7         6          7
Vardas41               Pavarde41                      1         8         5         3         4          9
Vardas42               Pavarde42                      3         4         2         1         7          8
Vardas43               Pavarde43                      3         4         3         6         9         10
Vardas44               Pavarde44                      6         8         2         4         8          7
Vardas45               Pavarde45                      6         8         1         6         1          9
Vardas46               Pavarde46                      4         2         3         8         5          4
Vardas47               Pavarde47                      1         1         5         5         4          3
Vardas48               Pavarde48                     10         5         2        10        10          6
Vardas49               Pavarde49                      2         6         8        10         7          7
Vardas50               Pavarde50                      4         2        10         4         1          9
